username,password,name,role,studentId,department,company,address,contactPerson,phone
"66100001","123","ศุภชัย ทองแท้","student","66100001","สาขาวิชาวิทยาการคอมพิวเตอร์","","","","081-110-0001"
"66100002","123","ณัฐชยา ศรีสวัสดิ์","student","66100002","สาขาวิชาเทคโนโลยีคอมพิวเตอร์และดิจิทัล","","","","081-110-0002"
"66100003","123","ปรเมศวร์ พิทักษ์ไทย","student","66100003","สาขาวิชาสาธารณสุขชุมชน","","","","081-110-0003"
"66100004","123","กัญญารัตน์ บุญมี","student","66100004","สาขาวิชาวิทยาศาสตร์การกีฬา","","","","081-110-0004"
"66100005","123","วสันต์ อินทร์สุข","student","66100005","สาขาวิชาเทคโนโลยีการเกษตร","","","","081-110-0005"
"66100006","123","ภัทรพงศ์ เจริญสุข","student","66100006","สาขาวิชาเทคโนโลยีและนวัตกรรมอาหาร","","","","081-110-0006"
"66100007","123","พิมพ์ชนก นาคะ","student","66100007","สาขาวิชาอาชีวอนามัยและความปลอดภัย","","","","081-110-0007"
"66100008","123","ชลธิชา วัฒนะ","student","66100008","สาขาวิชาวิศวกรรมซอฟต์แวร์","","","","081-110-0008"
"66100009","123","ธนพงษ์ สายชล","student","66100009","สาขาวิชาวิศวกรรมโลจิสติกส์","","","","081-110-0009"
"66100010","123","วริษฐา สุนทร","student","66100010","สาขาวิศวกรรมการจัดการอุตสาหกรรมและสิ่งแวดล้อม","","","","081-110-0010"
"66100011","123","ธีรดนย์ สายใจ","student","66100011","สาขาวิชาการออกแบบผลิตภัณฑ์และนวัตกรรมวัสดุ","","","","081-110-0011"
"66100012","123","ลลิตา ใจเพชร","student","66100012","สาขาวิชาเทคโนโลยีโยธาและสถาปัตยกรรม","","","","081-110-0012"
"66100013","123","อภิวัฒน์ คำดี","student","66100013","สาขาวิชาวิทยาการคอมพิวเตอร์","","","","081-110-0013"
"66100014","123","สุชาดา สงวนศรี","student","66100014","สาขาวิชาเทคโนโลยีคอมพิวเตอร์และดิจิทัล","","","","081-110-0014"
"66100015","123","ภวินท์ รัตนกุล","student","66100015","สาขาวิชาสาธารณสุขชุมชน","","","","081-110-0015"
"66100016","123","ชนิกานต์ ธรรมพ์","student","66100016","สาขาวิชาวิทยาศาสตร์การกีฬา","","","","081-110-0016"
"66100017","123","นิติกร อุทัย","student","66100017","สาขาวิชาเทคโนโลยีการเกษตร","","","","081-110-0017"
"66100018","123","มณีญา ศิริสกุล","student","66100018","สาขาวิชาเทคโนโลยีและนวัตกรรมอาหาร","","","","081-110-0018"
"66100019","123","กนกวรรณ จิตรดี","student","66100019","สาขาวิชาอาชีวอนามัยและความปลอดภัย","","","","081-110-0019"
"66100020","123","ปาณิสรา ศรีจันทร์","student","66100020","สาขาวิชาวิศวกรรมซอฟต์แวร์","","","","081-110-0020"
"CS","123","รศ.ดร. กิตติชัย มณีวงศ์","advisor","","สาขาวิชาวิทยาการคอมพิวเตอร์","","","","082-200-0001"
"ITD","123","ผศ. ดวงพร จันทร์เพ็ญ","advisor","","สาขาวิชาเทคโนโลยีคอมพิวเตอร์และดิจิทัล","","","","082-200-0002"
"CH","123","รศ. ดร. พิชญา สุวรรณ","advisor","","สาขาวิชาสาธารณสุขชุมชน","","","","082-200-0003"
"SSS","123","อ. ธนพร เกษียร","advisor","","สาขาวิชาวิทยาศาสตร์การกีฬา","","","","082-200-0004"
"AGT","123","ผศ. สมปอง ทับทิม","advisor","","สาขาวิชาเทคโนโลยีการเกษตร","","","","082-200-0005"
"FNI","123","ดร. นุชนาฏ ภักดี","advisor","","สาขาวิชาเทคโนโลยีและนวัตกรรมอาหาร","","","","082-200-0006"
"OSH","123","อ. ดลพร ธรรมวงศ์","advisor","","สาขาวิชาอาชีวอนามัยและความปลอดภัย","","","","082-200-0007"
"SE","123","รศ. ดร. ธีรศักดิ์ ม่วงทอง","advisor","","สาขาวิชาวิศวกรรมซอฟต์แวร์","","","","082-200-0008"
"LOG","123","ผศ. วราภรณ์ เกิดผล","advisor","","สาขาวิชาวิศวกรรมโลจิสติกส์","","","","082-200-0009"
"IEM","123","อ. ปรีดา รอดบุญ","advisor","","สาขาวิศวกรรมการจัดการอุตสาหกรรมและสิ่งแวดล้อม","","","","082-200-0010"
"PID","123","ดร. ปวีณา อมรศรี","advisor","","สาขาวิชาการออกแบบผลิตภัณฑ์และนวัตกรรมวัสดุ","","","","082-200-0011"
"CETA","123","ผศ. พีระพัฒน์ ตั้งมั่น","advisor","","สาขาวิชาเทคโนโลยีโยธาและสถาปัตยกรรม","","","","082-200-0012"
"company1","123","บริษัท อินโนเทค โซลูชัน จำกัด","company","","","บริษัท อินโนเทค โซลูชัน จำกัด","99/1 ถ.พหลโยธิน กรุงเทพฯ","คุณศุภกร","02-100-0001"
"company2","123","บริษัท กรีนเอ็นจิเนียริ่ง จำกัด","company","","","บริษัท กรีนเอ็นจิเนียริ่ง จำกัด","88/5 ถ.ราชพฤกษ์ นนทบุรี","คุณวริศ","02-100-0002"
"company3","123","บริษัท สมาร์ทฟู้ดส์ จำกัด","company","","","บริษัท สมาร์ทฟู้ดส์ จำกัด","55/7 ถ.สุขุมวิท ชลบุรี","คุณปาริชาติ","02-100-0003"
"company4","123","บริษัท ลอจิสติกส์พลัส จำกัด","company","","","บริษัท ลอจิสติกส์พลัส จำกัด","120 ถ.มิตรภาพ ขอนแก่น","คุณปฏิพัทธ์","02-100-0004"
"company5","123","บริษัท เมกะคอนสตรัคชั่น จำกัด","company","","","บริษัท เมกะคอนสตรัคชั่น จำกัด","777 ถ.วิภาวดี กรุงเทพฯ","คุณยศวดี","02-100-0005"
"company6","123","บริษัท ฮาร์เบอร์เทค จำกัด","company","","","บริษัท ฮาร์เบอร์เทค จำกัด","234 ถ.เจริญนคร สมุทรปราการ","คุณพิชญุตม์","02-100-0006"
"company7","123","บริษัท บลูสกาย เอนเนอร์ยี่ จำกัด","company","","","บริษัท บลูสกาย เอนเนอร์ยี่ จำกัด","18/9 ถ.สนามบินน้ำ นนทบุรี","คุณอธิวัฒน์","02-100-0007"
"company8","123","บริษัท ฟิวเจอร์ดีไซน์ จำกัด","company","","","บริษัท ฟิวเจอร์ดีไซน์ จำกัด","456/3 ถ.สายไหม กรุงเทพฯ","คุณชนิกา","02-100-0008"
"company9","123","บริษัท เมดิแคร์ เซอร์วิส จำกัด","company","","","บริษัท เมดิแคร์ เซอร์วิส จำกัด","123/4 ถ.ประชาราษฎร์ นครปฐม","คุณพิมพ์ลดา","02-100-0009"
"company10","123","บริษัท ไบโอเทค ฟาร์ม จำกัด","company","","","บริษัท ไบโอเทค ฟาร์ม จำกัด","12/45 ถ.มะลิวัลย์ ขอนแก่น","คุณสหัสวรรษ","02-100-0010"
